100|100|4660|5.30
101|101|2700|3.07
102|102|8361|9.50
103|103|3245|3.69
104|104|6141|6.98
105|105|5919|6.73
106|106|8713|9.90
107|107|4843|5.50
108|108|1202|1.37
109|109|2674|3.04
110|110|3791|4.31
111|111|8378|9.52
112|112|2194|2.49
113|113|1731|1.97
114|114|3750|4.26
115|115|8390|9.53
116|116|2028|2.30
117|117|1494|1.70
118|118|4312|4.90
119|119|3219|3.66
120|120|7155|8.13
121|121|828|0.94
122|122|4892|5.56
123|123|3090|3.51
124|124|3319|3.77
125|125|5501|6.25
126|126|4342|4.93
127|127|4121|4.68
128|128|1949|2.21
129|129|5954|6.77
130|130|1500|1.70
131|131|5836|6.63
132|132|2988|3.40
133|133|3332|3.79
134|134|8003|9.09
135|135|3305|3.76
136|136|3790|4.31
137|137|6271|7.13
138|138|2262|2.57
139|139|7301|8.30
140|140|1242|1.41
141|141|7124|8.10
142|142|3170|3.60
143|143|5123|5.82
144|144|8970|10.19
145|145|3764|4.28
146|146|8352|9.49
147|147|7796|8.86
148|148|3561|4.05
149|149|7078|8.04
