100|9742|6|1987-08-25 09:00:54|100|100
101|7498|1|2015-10-29 15:58:36|101|101
102|8248|8|1977-03-27 20:42:33|102|102
103|1857|7|1999-07-10 03:08:04|103|103
104|1206|0|2006-05-13 23:42:22|104|104
105|7192|8|1971-03-22 06:50:50|105|105
106|1813|8|1970-05-26 07:54:55|106|106
107|3643|4|1996-11-16 03:12:59|107|107
108|3275|9|1977-12-10 01:17:50|108|108
109|8948|9|1970-11-27 16:30:14|109|109
110|8289|2|1981-09-08 12:07:38|110|110
111|5015|1|2014-08-18 00:31:08|111|111
112|3206|8|2002-06-20 21:05:20|112|112
113|912|8|2001-04-25 09:55:58|113|113
114|9312|2|2017-01-28 22:29:31|114|114
115|1817|1|1997-07-26 14:32:48|115|115
116|6921|7|2014-10-04 15:31:43|116|116
117|1923|0|2020-08-24 08:31:36|117|117
118|2517|3|2010-12-16 23:50:26|118|118
119|9651|9|2019-05-26 15:01:10|119|119
120|3227|5|2003-02-14 13:16:39|120|120
121|2376|4|1990-08-10 03:13:31|121|121
122|7521|5|2012-02-02 21:14:46|122|122
123|5626|1|2011-12-21 06:37:19|123|123
124|5742|8|1994-07-19 23:06:05|124|124
125|6520|4|2016-12-31 12:06:23|125|125
126|6481|5|2015-11-08 11:13:39|126|126
127|6586|7|2016-12-22 08:01:25|127|127
128|8171|1|2015-12-10 18:12:07|128|128
129|7759|9|1996-11-17 17:01:44|129|129
130|7557|6|1990-08-06 13:43:48|130|130
131|1188|8|1975-12-19 04:23:41|131|131
132|8978|6|1978-07-07 02:47:27|132|132
133|4351|7|1979-03-13 06:36:43|133|133
134|6947|9|1970-12-11 21:18:37|134|134
135|5574|1|1982-12-26 09:52:38|135|135
136|9129|8|1977-08-13 14:24:25|136|136
137|4796|6|1971-01-30 19:55:06|137|137
138|3876|9|2017-05-13 23:31:20|138|138
139|1489|1|1982-10-23 06:15:35|139|139
140|5678|5|1971-10-29 11:57:00|140|140
141|6699|0|1984-03-28 10:14:52|141|141
142|9287|5|2002-09-28 05:35:04|142|142
143|4285|0|2014-02-20 14:49:26|143|143
144|8046|6|1979-11-17 19:50:46|144|144
145|1638|9|2014-03-20 08:54:14|145|145
146|6255|3|1986-06-15 11:30:57|146|146
147|1698|5|1999-08-28 13:57:02|147|147
148|8268|9|2012-08-08 18:49:45|148|148
149|7771|8|2006-08-26 12:59:48|149|149
