100|2011-12-26 04:17:32|2012-01-02 04:17:32|1596|1|0.04|100
101|1987-07-24 22:28:07|1987-08-14 22:28:07|3108|2|0.37|101
102|1994-09-25 13:58:46|1994-10-02 13:58:46|1645|4|0.44|102
103|1996-09-06 02:59:42|1996-09-27 02:59:42|3066|1|0.65|103
104|1982-06-24 06:22:05|1982-07-15 06:22:05|4389|1|0.94|104
105|2017-08-11 00:22:30|2017-09-08 00:22:30|4032|4|0.44|105
106|2015-04-08 03:41:46|2015-04-11 03:41:46|462|1|0.36|106
107|1992-06-24 08:18:04|1992-07-01 08:18:04|1239|1|0.77|107
108|1992-02-06 23:32:15|1992-02-27 23:32:15|3360|2|0.30|108
109|2000-11-05 09:52:54|2000-12-03 09:52:54|6104|1|0.22|109
110|2003-03-06 01:05:36|2003-03-27 01:05:36|4620|3|0.27|110
111|1972-01-23 05:15:35|1972-02-06 05:15:35|3346|1|0.35|111
112|1974-06-13 15:51:34|1974-06-27 15:51:34|1988|1|0.23|112
113|2002-05-07 11:59:32|2002-06-04 11:59:32|5852|1|0.38|113
114|1977-09-06 19:45:19|1977-09-13 19:45:19|1015|3|0.70|114
115|1993-12-01 02:36:55|1993-12-08 02:36:55|1253|1|0.07|115
116|2002-07-28 23:05:21|2002-08-25 23:05:21|4732|1|0.87|116
117|2001-05-22 05:22:42|2001-06-19 05:22:42|6944|4|0.58|117
118|1981-08-16 07:05:20|1981-08-30 07:05:20|3192|4|0.96|118
119|1989-03-17 13:04:42|1989-04-14 13:04:42|4732|4|0.30|119
120|1993-09-21 21:12:33|1993-09-28 21:12:33|1015|4|0.50|120
121|2011-02-18 10:38:36|2011-02-25 10:38:36|1610|3|0.76|121
122|2009-02-08 16:56:06|2009-03-08 16:56:06|3360|4|0.90|122
123|1978-09-02 09:28:50|1978-09-05 09:28:50|336|3|0.39|123
124|2004-07-26 03:46:41|2004-08-09 03:46:41|3262|4|0.50|124
125|1977-01-02 09:27:17|1977-01-05 09:27:17|555|1|0.55|125
126|1997-08-10 09:06:41|1997-08-13 09:06:41|684|4|0.76|126
127|2018-08-10 08:29:26|2018-09-07 08:29:26|5068|3|0.99|127
128|1977-04-13 00:49:51|1977-05-11 00:49:51|6020|3|0.90|128
129|1992-03-05 12:51:52|1992-03-08 12:51:52|744|4|0.94|129
130|2007-11-06 04:18:55|2007-12-04 04:18:55|6720|4|0.68|130
131|2014-03-13 04:51:29|2014-04-10 04:51:29|5740|3|0.44|131
132|1974-10-29 19:48:21|1974-11-26 19:48:21|4956|4|0.82|132
133|1990-07-24 04:28:48|1990-08-21 04:28:48|5936|4|0.86|133
134|2006-04-03 11:06:31|2006-04-17 11:06:31|3066|1|0.31|134
135|2001-05-15 14:12:45|2001-05-29 14:12:45|2842|2|0.41|135
136|1997-04-11 08:20:27|1997-04-25 08:20:27|1904|4|0.52|136
137|2010-03-09 20:25:15|2010-03-16 20:25:15|966|4|0.83|137
138|1998-02-19 03:42:11|1998-02-26 03:42:11|1624|4|0.57|138
139|1986-03-27 19:42:11|1986-04-10 19:42:11|1470|2|0.25|139
140|2012-04-01 22:16:07|2012-04-29 22:16:07|4144|4|0.29|140
141|1986-08-01 23:22:40|1986-08-08 23:22:40|1036|3|0.37|141
142|2007-04-16 08:19:16|2007-04-30 08:19:16|1974|4|0.29|142
143|1980-10-27 11:17:46|1980-11-24 11:17:46|6552|1|0.46|143
144|2002-10-29 11:41:26|2002-11-12 11:41:26|3234|3|0.92|144
