100|100|4276|4.86
101|101|3135|3.56
102|102|7925|9.01
103|103|4996|5.68
104|104|3704|4.21
105|105|2880|3.27
106|106|1318|1.50
107|107|3717|4.22
108|108|3868|4.40
109|109|6917|7.86
110|110|4767|5.42
111|111|894|1.02
112|112|5032|5.72
113|113|7710|8.76
114|114|8830|10.03
115|115|2213|2.51
116|116|6636|7.54
117|117|3711|4.22
118|118|4104|4.66
119|119|6358|7.22
120|120|8900|10.11
121|121|6405|7.28
122|122|5749|6.53
123|123|6102|6.93
124|124|7596|8.63
125|125|3651|4.15
126|126|5873|6.67
127|127|4019|4.57
128|128|671|0.76
129|129|2612|2.97
130|130|3818|4.34
131|131|5966|6.78
132|132|4680|5.32
133|133|7874|8.95
134|134|5069|5.76
135|135|1728|1.96
136|136|2123|2.41
137|137|4395|4.99
138|138|1499|1.70
139|139|8101|9.21
140|140|7915|8.99
141|141|7946|9.03
142|142|3975|4.52
143|143|5673|6.45
144|144|7182|8.16
145|145|3372|3.83
146|146|7221|8.21
147|147|1918|2.18
148|148|5044|5.73
149|149|8757|9.95
100|100|7427|8.44
101|101|828|0.94
102|102|1082|1.23
103|103|4518|5.13
104|104|6377|7.25
105|105|6279|7.14
106|106|4583|5.21
107|107|1856|2.11
108|108|2757|3.13
109|109|725|0.82
110|110|7924|9.00
111|111|6746|7.67
112|112|6988|7.94
113|113|6120|6.95
114|114|2643|3.00
115|115|5653|6.42
116|116|4540|5.16
117|117|5293|6.01
118|118|3285|3.73
119|119|7766|8.82
120|120|2654|3.02
121|121|2305|2.62
122|122|859|0.98
123|123|7768|8.83
124|124|1083|1.23
125|125|2111|2.40
126|126|7042|8.00
127|127|7503|8.53
128|128|631|0.72
129|129|2991|3.40
130|130|6012|6.83
131|131|3643|4.14
132|132|5945|6.76
133|133|6695|7.61
134|134|4476|5.09
135|135|5965|6.78
136|136|7242|8.23
137|137|774|0.88
138|138|7846|8.92
139|139|4378|4.97
140|140|7566|8.60
141|141|7755|8.81
142|142|1658|1.88
143|143|5537|6.29
144|144|5718|6.50
145|145|8073|9.17
146|146|572|0.65
147|147|6065|6.89
148|148|3556|4.04
149|149|7386|8.39
