100|9NZ N58|708|2014-11-22|17|8|East Elaine, Belarus|Europe|100|100
101|WSP-1997|417|2002-05-06|11|2|Port Seanport, Zimbabwe|Antarctica|101|101
102|CT9 D6V|717|2002-05-31|14|5|Newmanton, Bermuda|Asia|102|102
103|0E S2278|656|2001-03-11|5|0|Gilbertmouth, Congo|Europe|103|103
104|5V 49465|251|1994-04-24|5|2|New Valeriefurt, Tanzania|Australia|104|104
105|580 0JB|569|2015-03-16|11|10|Danielport, Tonga|Africa|105|105
106|3696|560|2012-07-18|11|6|Jenniferfurt, Hong Kong|Australia|106|106
107|3-R2723|488|2010-03-04|15|6|Bridgesstad, Tajikistan|Australia|107|107
108|42-2010E|533|1996-03-04|13|8|Barrettberg, Belize|Africa|108|108
109|UZN7969|793|1997-05-23|15|6|Hicksside, Svalbard & Jan Mayen Islands|Asia|109|109
110|32-ML69|586|1991-07-12|5|2|Bradfordbury, Rwanda|North America|110|110
111|500-INRS|610|2010-08-09|13|9|Bushville, Morocco|Australia|111|111
112|847-WCE|299|2008-11-11|13|7|New Pamelaland, Ecuador|North America|112|112
113|U18-XVV|715|2018-06-06|9|2|Chloemouth, Marshall Islands|North America|113|113
114|87PO956|361|2003-04-13|8|6|Keithton, Puerto Rico|Australia|114|114
115|49X 407|519|2010-12-11|10|9|New Brett, French Guiana|South America|115|115
116|TAJ-7128|671|1993-11-21|13|6|Johnathanview, Falkland Islands (Malvinas)|Australia|116|116
117|AX 19292|399|2013-09-13|8|2|Woodburgh, Eritrea|Asia|117|117
118|HPF-8051|456|1996-03-17|12|7|Port Tyler, Isle of Man|South America|118|118
119|63-72395|751|1993-02-14|11|10|Karlaville, Austria|North America|119|119
120|ZOM 747|326|2016-08-29|7|1|South Frances, Iceland|Africa|120|120
121|I04-EQN|228|2018-05-27|10|2|Reyesmouth, Malta|Antarctica|121|121
122|1B856|325|2012-01-17|5|1|Matthewview, Spain|Australia|122|122
123|IU-9673|579|2016-04-04|6|0|New Matthew, Portugal|Asia|123|123
124|LKR 001|422|1991-09-06|13|5|Davisville, Poland|Australia|124|124
125|44-LH30|628|1992-01-30|10|9|North Sheenaborough, Zambia|Antarctica|125|125
126|11U 192|396|2004-01-25|18|9|North Heather, El Salvador|Asia|126|126
127|OVC 746|671|2014-10-29|12|5|Jonathanland, Falkland Islands (Malvinas)|Australia|127|127
128|0MMK442|561|2006-04-07|17|9|South Tiffanyborough, New Caledonia|North America|128|128
129|FUP 128|745|2017-06-06|5|0|Robinsonville, United States Minor Outlying Islands|Asia|129|129
130|41-W011|333|2010-09-18|8|2|Kimberlytown, Ukraine|Europe|130|130
131|EUU-0064|234|1996-06-07|5|1|Rebeccashire, Afghanistan|North America|131|131
132|766 WYP|406|2019-12-29|3|2|New Jeremiahfurt, Zimbabwe|Asia|132|132
133|YPD 985|616|2002-08-14|7|5|Richardland, Haiti|Australia|133|133
134|KCO-432|606|2010-02-20|15|4|South Donnaport, Qatar|Australia|134|134
135|571-DUW|676|2012-10-21|12|6|Mossberg, Argentina|Australia|135|135
136|MAX 937|637|2004-07-02|5|2|Port Amberport, Luxembourg|Antarctica|136|136
137|ZOA-050|532|2002-10-07|15|8|South Davidhaven, Kuwait|Antarctica|137|137
138|293R1|303|1992-07-12|15|6|South Desiree, Latvia|North America|138|138
139|B20-20H|552|2001-09-24|13|3|South Cherylshire, Bahrain|Europe|139|139
140|DPT Z93|405|1993-06-03|7|4|South Matthew, Syrian Arab Republic|Australia|140|140
141|VMK-1982|214|2002-03-20|10|7|Port Brandon, China|North America|141|141
142|4CD2625|234|2010-02-07|11|3|South John, Morocco|North America|142|142
143|962 EDZ|339|1991-10-22|8|5|Millertown, Christmas Island|Africa|143|143
144|946723|794|1996-02-22|4|0|Alexandrachester, Dominican Republic|Australia|144|144
145|KTW 092|307|2015-09-05|16|8|Salazarland, Nigeria|South America|145|145
146|833 LNA|643|1995-04-10|14|8|New Michaelside, Macedonia|Asia|146|146
147|3O YU403|753|1995-02-09|6|5|Lake Megan, United States Minor Outlying Islands|South America|147|147
148|P00-FFV|777|2013-03-20|14|4|Justinchester, El Salvador|South America|148|148
149|7TZ0108|590|1997-04-04|12|1|Port Anthony, Malawi|Africa|149|149
100|9NZ N58|689|2014-11-22|8|2|East Elaine, Belarus|Antarctica|100|100
101|WSP-1997|794|2002-05-06|10|7|Port Seanport, Zimbabwe|Asia|101|101
102|CT9 D6V|214|2002-05-31|12|6|Newmanton, Bermuda|Australia|102|102
103|0E S2278|554|2001-03-11|15|10|Gilbertmouth, Congo|Africa|103|103
104|5V 49465|357|1994-04-24|7|3|New Valeriefurt, Tanzania|Asia|104|104
105|580 0JB|648|2015-03-16|10|0|Danielport, Tonga|Africa|105|105
106|3696|725|2012-07-18|5|1|Jenniferfurt, Hong Kong|Australia|106|106
107|3-R2723|624|2010-03-04|7|1|Bridgesstad, Tajikistan|Africa|107|107
108|42-2010E|746|1996-03-04|17|6|Barrettberg, Belize|Asia|108|108
109|UZN7969|374|1997-05-23|3|0|Hicksside, Svalbard & Jan Mayen Islands|Asia|109|109
110|32-ML69|788|1991-07-12|5|3|Bradfordbury, Rwanda|Europe|110|110
111|500-INRS|201|2010-08-09|12|1|Bushville, Morocco|Australia|111|111
112|847-WCE|554|2008-11-11|8|0|New Pamelaland, Ecuador|Asia|112|112
113|U18-XVV|642|2018-06-06|11|3|Chloemouth, Marshall Islands|Antarctica|113|113
114|87PO956|224|2003-04-13|13|6|Keithton, Puerto Rico|Africa|114|114
115|49X 407|469|2010-12-11|12|4|New Brett, French Guiana|South America|115|115
116|TAJ-7128|356|1993-11-21|6|4|Johnathanview, Falkland Islands (Malvinas)|Asia|116|116
117|AX 19292|456|2013-09-13|5|1|Woodburgh, Eritrea|North America|117|117
118|HPF-8051|602|1996-03-17|15|8|Port Tyler, Isle of Man|North America|118|118
119|63-72395|708|1993-02-14|17|10|Karlaville, Austria|Asia|119|119
120|ZOM 747|488|2016-08-29|10|4|South Frances, Iceland|North America|120|120
121|I04-EQN|763|2018-05-27|9|2|Reyesmouth, Malta|Africa|121|121
122|1B856|691|2012-01-17|15|7|Matthewview, Spain|Antarctica|122|122
123|IU-9673|302|2016-04-04|4|2|New Matthew, Portugal|Australia|123|123
124|LKR 001|602|1991-09-06|14|6|Davisville, Poland|Africa|124|124
125|44-LH30|316|1992-01-30|11|5|North Sheenaborough, Zambia|Antarctica|125|125
126|11U 192|767|2004-01-25|14|6|North Heather, El Salvador|North America|126|126
